s,Lighting level,Satisfaction,Illuminance
1,2,3,305.00
1,1,3,289.60
1,1,2,173.00
1,1,2,242.00
1,2,2,310.00
1,2,3,312.00
1,5,3,500.00
1,1,3,300.00
1,1,3,300.00
1,2,3,305.00
1,5,4,455.00
1,1,2,280.00
1,4,2,409.00
1,1,2,240.00
1,7,4,559.70
1,7,4,582.50
1,11,3,761.00
1,3,3,400.00
1,3,3,378.00
1,5,2,470.00
1,4,2,417.00
1,4,2,446.00
1,6,3,530.00
1,5,3,467.00
1,6,4,548.00
1,5,3,488.00
1,8,4,641.00
1,3,3,392.00
1,14,3,960.00
1,2,3,311.00
1,6,3,531.00
1,2,2,311.00
1,1,2,300.00
1,1,3,297.00
1,1,2,233.00
1,4,4,421.00
1,5,4,500.00
1,6,3,528.00
1,5,3,494.00
1,1,2,213.00
1,2,3,321.00
1,5,3,491.00
1,2,3,343.00
1,4,2,435.00
1,2,3,325.00
1,3,3,351.00
1,4,3,445.00
1,3,3,356.00
1,9,4,680.00
1,6,4,522.00
1,5,3,490.00
1,2,3,343.00
1,3,3,352.00
1,1,3,294.00
1,6,3,532.00
1,2,2,320.00
1,4,3,415.00
1,6,4,512.00
1,6,3,512.00
1,4,2,450.00
1,6,3,547.00
1,2,2,343.00
1,5,3,465.00
1,3,3,351.00
1,1,1,107.00
1,6,3,547.00
1,7,4,560.00
1,3,2,353.00
1,2,3,322.00
1,1,3,221.00
1,4,3,409.00
1,2,2,343.00
1,4,2,424.00
1,3,3,362.00
1,1,2,257.00
1,6,3,513.00
1,6,3,530.00
1,7,3,555.00
1,10,4,743.00
1,7,3,580.00
1,10,3,743.00
1,14,3,1898.00
1,13,3,859.00
1,6,3,523.00
1,6,3,513.00
1,8,4,615.00
1,6,3,512.00
1,13,3,894.00
1,7,3,567.00
1,7,3,560.00
1,5,2,484.00
1,7,3,556.00
1,3,2,373.00
1,5,3,481.00
1,2,2,320.00
1,14,3,1127.00
1,5,2,457.00
1,3,3,370.00
1,10,4,729.00
1,9,2,693.00
1,6,3,540.00
1,6,3,535.00
1,3,2,375.00
1,2,3,316.00
1,4,3,413.00
1,4,3,444.00
1,3,3,365.00
1,13,3,886.00
1,5,3,473.00
1,2,3,347.00
1,14,3,973.00
1,6,3,522.00
1,14,3,1117.00
1,10,3,746.00
1,7,2,595.00
1,8,3,636.00
1,2,2,312.00
1,14,3,1131.00
1,3,4,376.00
1,4,3,450.00
1,8,5,646.00
1,8,5,610.00
1,8,5,623.00
1,6,3,515.00
1,5,2,470.00
1,6,3,536.00
1,7,3,598.00
1,6,3,536.00
1,14,3,1387.00
1,14,3,1262.00
1,11,3,767.00
1,14,3,940.00
1,7,3,555.00
1,5,3,472.00
1,5,3,498.00
1,8,5,616.00
1,2,3,350.00
1,7,3,555.00
1,5,3,495.00
1,6,3,535.00
1,8,4,605.00
1,6,4,509.00
1,6,4,522.00
1,5,3,480.00
1,4,3,448.00
1,6,3,512.00
1,5,3,492.00
1,6,3,501.00
1,5,3,500.00
1,5,4,463.00
1,4,2,440.00
1,5,3,499.00
1,4,3,449.00
1,1,2,264.00
1,1,2,150.00
1,8,4,620.00
1,7,3,565.00
1,8,4,650.00
1,8,3,644.00
1,13,3,870.00
1,14,3,945.00
1,14,4,902.00
1,14,3,949.00
1,14,3,1018.00
1,14,3,919.00
1,14,3,1546.00
1,14,3,1214.00
1,7,3,562.00
1,8,4,619.00
1,6,3,523.00
1,2,3,346.00
1,4,4,424.00
1,4,3,424.00
1,6,3,507.00
1,8,4,609.00
1,6,3,505.00
1,1,2,294.00
1,6,3,508.00
1,1,2,277.00
1,2,3,302.00
1,3,3,389.00
1,3,3,390.00
1,1,2,180.00
1,10,3,740.00
1,1,2,240.00
1,4,3,421.00
1,1,3,236.00
1,8,4,642.00
1,2,3,309.00
1,1,1,77.00
1,4,3,413.00
1,8,4,644.00
1,2,2,335.00
1,1,2,233.00
1,4,3,409.00
1,5,2,472.00
1,4,3,417.00
1,6,3,525.00
1,11,4,787.00
1,1,2,250.00
1,8,5,647.00
1,3,3,397.00
1,1,3,263.00
1,3,2,355.00
1,1,1,191.00
1,1,3,300.00
1,2,3,334.00
1,2,2,317.00
1,1,2,276.00
1,3,3,369.00
1,1,2,284.00
1,1,2,261.00
1,3,2,353.00
1,11,3,762.00
1,1,2,276.00
1,1,2,280.00
1,13,3,862.00
1,1,3,276.00
1,6,3,526.00
1,7,3,554.00
1,2,3,314.00
1,3,3,385.00
1,11,4,789.00
1,1,2,236.00
1,5,3,453.00
1,1,3,239.00
1,1,3,209.00
1,1,2,279.00
1,1,2,225.00
1,1,3,189.00
1,1,2,257.00
1,1,2,247.00
1,3,3,374.00
1,2,2,349.00
1,1,1,167.00
1,4,3,417.00
1,4,3,414.00
1,1,1,243.00
1,2,1,346.00
1,2,3,340.00
1,2,3,320.00
1,8,3,628.00
1,1,2,253.00
1,1,2,163.00
1,1,2,120.00
1,1,2,222.00
1,9,4,654.00
1,1,3,298.00
1,1,3,263.00
1,8,5,630.00
1,1,3,250.00
1,1,3,283.00
1,1,3,228.00
1,2,3,320.00
1,3,3,375.00
1,3,3,375.00
1,1,3,284.00
1,1,3,230.00
1,1,3,294.00
1,2,3,307.00
1,6,3,522.00
1,6,3,538.00
1,2,3,319.00
1,3,3,370.00
1,8,4,638.00
1,4,3,410.00
1,2,2,342.00
1,13,3,884.00
1,2,3,319.00
1,7,3,582.00
1,7,3,558.00
1,5,3,460.00
1,2,2,330.00
1,6,3,523.00
1,2,2,326.00
1,1,3,234.00
1,1,2,144.00
1,3,3,364.00
1,1,2,263.00
1,1,3,265.00
2,1,2,289.00
2,2,3,321.00
2,4,2,444.00
2,3,3,367.00
2,3,3,366.00
2,8,5,630.00
2,4,2,446.00
2,8,4,629.00
2,3,3,374.00
2,8,4,648.00
2,14,5,949.00
2,2,2,326.00
2,5,5,490.00
2,8,4,604.00
2,7,4,551.00
2,7,5,598.00
2,8,5,648.00
2,3,2,380.00
2,8,4,646.00
2,2,3,347.00
2,2,3,318.00
2,3,3,368.00
2,4,3,411.00
2,4,1,417.00
2,7,4,584.00
2,8,5,622.00
2,7,3,559.00
2,4,3,439.00
2,14,4,967.00
2,14,3,1040.00
2,14,3,1123.00
2,14,4,1040.00
2,7,3,569.00
2,4,3,439.00
2,3,2,361.00
2,3,3,382.00
2,2,1,344.00
2,10,3,743.00
2,8,4,645.00
2,12,4,829.00
2,12,3,836.00
2,13,4,854.00
2,1,3,110.00
2,1,3,163.00
2,2,3,350.00
2,1,3,236.00
2,1,3,273.00
2,1,1,250.00
2,1,2,189.00
2,1,3,178.00
2,1,3,267.00
2,1,2,247.00
2,1,3,289.00
2,1,2,279.00
2,1,3,277.00
2,1,3,262.00
2,6,4,550.00
2,1,4,130.00
2,8,4,630.00
2,8,5,620.00
2,1,3,266.00
2,1,3,172.00
2,1,4,153.00
2,1,2,238.00
2,1,1,246.00
2,8,4,610.00
2,1,3,275.00
2,1,3,276.00
2,8,4,620.00
2,7,4,553.00
2,6,4,550.00
2,1,1,174.00
2,1,3,246.00
2,1,2,252.00
2,1,3,146.00
2,1,3,160.00
2,1,3,225.00
2,7,4,600.00
2,1,2,117.00
2,1,3,172.00
2,1,3,102.00
2,1,2,256.00
2,1,3,206.00
2,1,3,246.00
2,1,3,204.00
2,1,3,209.00
2,3,3,400.00
2,1,3,297.00
2,1,3,199.00
2,1,3,240.00
2,8,5,647.00
2,1,3,173.00
2,1,3,209.00
2,3,4,380.00
2,2,3,330.00
2,1,3,282.00
2,1,3,266.00
2,1,2,269.00
2,2,3,320.00
2,3,3,386.00
2,8,4,620.00
2,1,3,149.00
2,1,3,204.00
2,1,2,253.00
2,3,3,356.00
2,1,4,182.00
2,1,1,228.00
2,3,3,400.00
